product_id,seller_id,category_id,product_name,price,stock_quantity,expiration_date,discounted_price,description,created_at
1,2,1,신선한 오징어,12500.00,100,2024-11-20,11000.00,전통 시장에서 잡아 올린 신선한 오징어,2024-10-17 12:30:00
2,4,2,친환경 고구마,7990.00,200,2024-12-01,NULL,무농약으로 재배된 달콤한 고구마,2024-10-17 12:35:00
3,6,3,한우 등심 1kg,45000.00,50,2024-10-25,42500.00,전통 시장에서 판매되는 최고급 한우 등심,2024-10-17 12:40:00
4,8,4,수제 청국장,8500.00,120,2024-12-30,NULL,전통 방식으로 만든 깊은 맛의 청국장,2024-10-17 12:45:00
5,10,5,홍삼 농축액,55000.00,80,2025-01-15,50000.00,건강에 좋은 6년근 홍삼을 농축한 건강식품,2024-10-17 12:50:00
6,12,1,활 바지락,9500.00,150,2024-10-30,8800.00,전통 시장에서 갓 잡은 싱싱한 바지락,2024-10-17 12:55:00
7,14,2,무농약 양파,4200.00,300,2024-12-10,NULL,친환경 농법으로 재배된 양파,2024-10-17 13:00:00
8,16,3,돼지고기 목살 1kg,23000.00,70,2024-11-05,21000.00,신선한 돼지고기 목살,2024-10-17 13:05:00
9,18,4,전통 된장,6300.00,110,2024-12-20,NULL,옛날 방식으로 만든 전통 된장,2024-10-17 13:10:00
10,20,5,자연산 벌꿀,40000.00,60,2025-02-28,37500.00,100% 자연산 꿀,2024-10-17 13:15:00
11,22,1,생선회 (광어) 500g,18000.00,90,2024-10-21,16800.00,신선한 광어회,2024-10-17 13:20:00
12,24,2,무농약 배추,5500.00,250,2024-12-15,NULL,김장철을 위한 무농약 배추,2024-10-17 13:25:00
13,26,3,한돈 삼겹살 1kg,20000.00,80,2024-11-08,18500.00,전통 시장에서 판매되는 신선한 삼겹살,2024-10-17 13:30:00
14,28,4,전통 메주,10000.00,140,2025-01-30,NULL,전통 방식으로 만든 메주,2024-10-17 13:35:00
15,30,5,전통 인삼액,60000.00,50,2025-03-01,55000.00,6년근 인삼으로 만든 전통 건강액,2024-10-17 13:40:00
16,32,1,건새우 500g,15000.00,130,2024-12-05,13500.00,고소한 맛이 일품인 전통 시장 건새우,2024-10-17 13:45:00
17,34,2,유기농 감자,6800.00,220,2024-12-20,NULL,친환경 유기농 감자,2024-10-17 13:50:00
18,36,3,한우 사태 1kg,38000.00,40,2024-10-28,36000.00,부드럽고 담백한 한우 사태,2024-10-17 13:55:00
19,38,4,수제 고추장,7000.00,100,2024-12-25,NULL,전통 방식으로 만든 매콤한 수제 고추장,2024-10-17 14:00:00
20,40,5,자연산 잣,35000.00,90,2025-01-20,32000.00,전통 시장에서 채취한 자연산 잣,2024-10-17 14:05:00
21,42,1,자연산 대하 1kg,24000.00,60,2024-11-15,22000.00,전통 시장에서 판매하는 자연산 대하,2024-10-17 14:10:00
22,44,2,유기농 당근,4500.00,180,2024-12-18,NULL,친환경 농법으로 재배된 당근,2024-10-17 14:15:00
23,46,3,한돈 갈비 1kg,22000.00,50,2024-11-10,20000.00,신선한 한돈 갈비,2024-10-17 14:20:00
24,48,4,전통 참기름,13000.00,90,2025-02-05,12000.00,전통 방식으로 짜낸 고소한 참기름,2024-10-17 14:25:00
25,50,5,6년근 홍삼차,45000.00,70,2025-01-25,42000.00,건강에 좋은 6년근 홍삼차,2024-10-17 14:30:00
26,52,1,생굴 500g,9500.00,110,2024-10-28,8800.00,전통 시장에서 갓 잡은 싱싱한 생굴,2024-10-17 14:35:00
27,54,2,유기농 토마토,7000.00,250,2024-12-22,NULL,친환경 농법으로 재배된 신선한 토마토,2024-10-17 14:40:00
28,56,3,한우 차돌박이 500g,28000.00,80,2024-11-12,25500.00,고소한 맛이 일품인 한우 차돌박이,2024-10-17 14:45:00
29,58,4,수제 간장,8000.00,130,2025-02-28,7500.00,전통 방식으로 만든 수제 간장,2024-10-17 14:50:00
30,60,5,자연산 마른 홍삼,50000.00,40,2025-03-10,47000.00,100% 자연산 홍삼,2024-10-17 14:55:00
31,62,1,전통 김 100g,6000.00,150,2024-11-30,5500.00,고소한 맛이 일품인 전통 김,2024-10-17 15:00:00
32,64,2,무농약 깻잎,3500.00,200,2024-12-25,NULL,친환경 농법으로 재배된 신선한 깻잎,2024-10-17 15:05:00
33,66,3,한우 안심 500g,55000.00,30,2024-10-20,52000.00,최고급 한우 안심,2024-10-17 15:10:00
34,68,4,전통 고춧가루,9500.00,140,2025-01-15,8800.00,직접 말린 고추로 만든 매콤한 고춧가루,2024-10-17 15:15:00
35,70,5,자연산 복분자,18000.00,70,2025-02-10,16500.00,자연산 복분자로 만든 건강 음료,2024-10-17 15:20:00
36,72,1,참치회 500g,30000.00,100,2024-10-21,28000.00,신선한 참치회,2024-10-17 15:25:00
37,74,2,유기농 호박,5200.00,170,2024-12-19,NULL,친환경 농법으로 재배된 호박,2024-10-17 15:30:00
38,76,3,한돈 목살 500g,16000.00,90,2024-11-05,15000.00,신선한 한돈 목살,2024-10-17 15:35:00
39,78,4,전통 쌀엿,12000.00,80,2025-02-20,11000.00,전통 방식으로 만든 쌀엿,2024-10-17 15:40:00
40,80,5,자연산 헛개나무차,25000.00,60,2025-03-05,23500.00,자연산 헛개나무로 만든 건강차,2024-10-17 15:45:00
41,82,1,생전복 1kg,38000.00,70,2024-11-03,36000.00,전통 시장에서 갓 잡은 싱싱한 생전복,2024-10-17 15:50:00
42,84,2,무농약 시금치,4800.00,180,2024-12-17,NULL,친환경 농법으로 재배된 신선한 시금치,2024-10-17 15:55:00
43,86,3,한돈 등심 500g,19500.00,60,2024-11-06,18000.00,신선한 한돈 등심,2024-10-17 16:00:00
44,88,4,전통 메주가루,11000.00,130,2025-01-25,10000.00,전통 방식으로 만든 메주가루,2024-10-17 16:05:00
45,90,5,자연산 구기자차,27000.00,50,2025-03-15,25000.00,자연산 구기자차로 만든 건강차,2024-10-17 16:10:00
46,92,1,건멸치 500g,14000.00,120,2024-12-10,13000.00,전통 시장에서 판매하는 고소한 건멸치,2024-10-17 16:15:00
47,94,2,무농약 무,3300.00,220,2024-12-28,NULL,친환경 농법으로 재배된 신선한 무,2024-10-17 16:20:00
48,96,3,한우 설도 500g,35000.00,40,2024-10-23,33000.00,부드러운 한우 설도,2024-10-17 16:25:00
49,98,4,수제 된장,7500.00,150,2024-12-30,7000.00,전통 방식으로 만든 깊은 맛의 수제 된장,2024-10-17 16:30:00
50,100,5,자연산 영지버섯,42000.00,80,2025-04-10,40000.00,자연산 영지버섯으로 만든 건강식품,2024-10-17 16:35:00
